document_id,document_perfect,error_count,invoice_info.invoice_no_gt,invoice_info.invoice_no_pred,invoice_info.invoice_no_status,invoice_info.issue_date_gt,invoice_info.issue_date_pred,invoice_info.issue_date_status,seller_info.tax_code_gt,seller_info.tax_code_pred,seller_info.tax_code_status,seller_info.legal_name_gt,seller_info.legal_name_pred,seller_info.legal_name_status,buyer_info.tax_code_gt,buyer_info.tax_code_pred,buyer_info.tax_code_status,buyer_info.legal_name_gt,buyer_info.legal_name_pred,buyer_info.legal_name_status,totals.total_amount_before_tax_gt,totals.total_amount_before_tax_pred,totals.total_amount_before_tax_status,totals.total_tax_amount_gt,totals.total_tax_amount_pred,totals.total_tax_amount_status,totals.total_amount_after_tax_gt,totals.total_amount_after_tax_pred,totals.total_amount_after_tax_status
INV_20260602_0000011,False,1,0000011,0000011,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0306770619,0306770619,MATCH,CÔNG TY CỔ PHẦN BETA,CÔNG TY CỔ PHẦN BETA,MATCH,6100000,6100000.0,MATCH,610000,0.0,VALUE_MISMATCH,6710000,6710000.0,MATCH
INV_20260602_0000012,False,2,0000012,0000012,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0308707870,0308707870,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,5200000,4400000.0,VALUE_MISMATCH,520000,0.0,VALUE_MISMATCH,5720000,5720000.0,MATCH
INV_20260602_0000013,False,1,0000013,0000013,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0302322047,0302322047,MATCH,CÔNG TY CỔ PHẦN BETA,CÔNG TY CỔ PHẦN BETA,MATCH,5900000,5900000.0,MATCH,590000,0.0,VALUE_MISMATCH,6490000,6490000.0,MATCH
INV_20260602_0000014,False,1,0000014,0000014,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0307067228,0307067228,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,5700000,5700000.0,MATCH,570000,0.0,VALUE_MISMATCH,6270000,6270000.0,MATCH
INV_20260602_0000015,False,2,0000015,0000015,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0302166941,0302166941,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,2400000,1320000.0,VALUE_MISMATCH,240000,0.0,VALUE_MISMATCH,2640000,2640000.0,MATCH
INV_20260602_0000016,False,1,0000016,0000016,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0302338687,0302338687,MATCH,CÔNG TY CỔ PHẦN BETA,CÔNG TY CỔ PHẦN BETA,MATCH,3200000,3200000.0,MATCH,320000,0.0,VALUE_MISMATCH,3520000,3520000.0,MATCH
INV_20260602_0000017,False,1,0000017,0000017,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0305663623,0305663623,MATCH,CÔNG TY CỔ PHẦN BETA,CÔNG TY CỔ PHẦN BETA,MATCH,5500000,5500000.0,MATCH,550000,0.0,VALUE_MISMATCH,6050000,6050000.0,MATCH
INV_20260602_0000018,False,1,0000018,0000018,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0307210606,0307210606,MATCH,CÔNG TY TNHH THƯƠNG MẠI ALPHA,CÔNG TY TNHH THƯƠNG MẠI ALPHA,MATCH,4300000,4300000.0,MATCH,430000,0.0,VALUE_MISMATCH,4730000,4730000.0,MATCH
INV_20260602_0000019,False,1,0000019,0000019,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0305479144,0305479144,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,2400000,2400000.0,MATCH,240000,0.0,VALUE_MISMATCH,2640000,2640000.0,MATCH
INV_20260602_0000020,False,1,0000020,0000020,MATCH,2026-06-02,2026-06-02,MATCH,0101234567,0101234567,MATCH,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,CÔNG TY CỔ PHẦN CÔNG NGHỆ AI-INVOICE,MATCH,0305107245,0305107245,MATCH,DOANH NGHIỆP TƯ NHÂN GAMMA,DOANH NGHIỆP TƯ NHÂN GAMMA,MATCH,3900000,3900000.0,MATCH,390000,0.0,VALUE_MISMATCH,4290000,4290000.0,MATCH
